banRate,champ,id,log,matches,patch,pickRate,rank,ranking,role,tier,winRate
,Graves,,,27441,11.3,,Bronze,146,[name:jungle]",[synonyms:{[jg", jungle]}]",[uGGSelectorXpath:6],,48.79
,Ivern,,,4138,11.3,,Bronze,147,[name:jungle]",[synonyms:{[jg", jungle]}]",[uGGSelectorXpath:6],,48.74
,Rumble,,,4099,11.3,,Bronze,148,[name:top]",[synonyms:{[topper", top]}]",[uGGSelectorXpath:5],,48.72
,Bard,,,7476,11.3,,Bronze,149,[name:supp]",[synonyms:{[support", supp]}]",[uGGSelectorXpath:9],,48.72
,Janna,,,8845,11.3,,Bronze,150,[name:supp]",[synonyms:{[support", supp]}]",[uGGSelectorXpath:9],,48.67
,Aphelios,,,24649,11.3,,Bronze,151,[name:adc]",[synonyms:{[bot", bottom", adc]}]",[uGGSelectorXpath:8],,48.58
,Kha'Zix,,,45356,11.3,,Bronze,152,[name:jungle]",[synonyms:{[jg", jungle]}]",[uGGSelectorXpath:6],,48.57
,Evelynn,,,24759,11.3,,Bronze,153,[name:jungle]",[synonyms:{[jg", jungle]}]",[uGGSelectorXpath:6],,48.56
,Thresh,,,47114,11.3,,Bronze,154,[name:supp]",[synonyms:{[support", supp]}]",[uGGSelectorXpath:9],,48.52
,LeBlanc,,,17064,11.3,,Bronze,155,[name:mid]",[synonyms:{[middle", mid]}]",[uGGSelectorXpath:7],,48.48
,Nasus,,,3167,11.3,,Bronze,156,[name:jungle]",[synonyms:{[jg", jungle]}]",[uGGSelectorXpath:6],,48.47
,Xin Zhao,,,20376,11.3,,Bronze,157,[name:jungle]",[synonyms:{[jg", jungle]}]",[uGGSelectorXpath:6],,48.46
,Tryndamere,,,4654,11.3,,Bronze,158,[name:jungle]",[synonyms:{[jg", jungle]}]",[uGGSelectorXpath:6],,48.43
,Riven,,,18552,11.3,,Bronze,159,[name:top]",[synonyms:{[topper", top]}]",[uGGSelectorXpath:5],,48.36
,Senna,,,54227,11.3,,Bronze,160,[name:supp]",[synonyms:{[support", supp]}]",[uGGSelectorXpath:9],,48.3
,Veigar,,,9497,11.3,,Bronze,161,[name:supp]",[synonyms:{[support", supp]}]",[uGGSelectorXpath:9],,48.27
,Olaf,,,35118,11.3,,Bronze,162,[name:jungle]",[synonyms:{[jg", jungle]}]",[uGGSelectorXpath:6],,48.26
,Ezreal,,,83204,11.3,,Bronze,163,[name:adc]",[synonyms:{[bot", bottom", adc]}]",[uGGSelectorXpath:8],,48.26
,Poppy,,,7382,11.3,,Bronze,164,[name:top]",[synonyms:{[topper", top]}]",[uGGSelectorXpath:5],,48.23
,Draven,,,15168,11.3,,Bronze,165,[name:adc]",[synonyms:{[bot", bottom", adc]}]",[uGGSelectorXpath:8],,48.22
,Pyke,,,51695,11.3,,Bronze,166,[name:supp]",[synonyms:{[support", supp]}]",[uGGSelectorXpath:9],,48.2
,Viego,,,19512,11.3,,Bronze,167,[name:top]",[synonyms:{[topper", top]}]",[uGGSelectorXpath:5],,48.17
,Sett,,,13896,11.3,,Bronze,168,[name:supp]",[synonyms:{[support", supp]}]",[uGGSelectorXpath:9],,48.16
,Renekton,,,43535,11.3,,Bronze,169,[name:top]",[synonyms:{[topper", top]}]",[uGGSelectorXpath:5],,48.16
,Caitlyn,,,66820,11.3,,Bronze,170,[name:adc]",[synonyms:{[bot", bottom", adc]}]",[uGGSelectorXpath:8],,48.16
,Kassadin,,,12279,11.3,,Bronze,171,[name:mid]",[synonyms:{[middle", mid]}]",[uGGSelectorXpath:7],,48.16
,Camille,,,22421,11.3,,Bronze,172,[name:top]",[synonyms:{[topper", top]}]",[uGGSelectorXpath:5],,48.14
,Syndra,,,12417,11.3,,Bronze,173,[name:mid]",[synonyms:{[middle", mid]}]",[uGGSelectorXpath:7],,48.1
,Jayce,,,6742,11.3,,Bronze,174,[name:top]",[synonyms:{[topper", top]}]",[uGGSelectorXpath:5],,48.09
,Trundle,,,3059,11.3,,Bronze,175,[name:top]",[synonyms:{[topper", top]}]",[uGGSelectorXpath:5],,48.02
,Xayah,,,22399,11.3,,Bronze,176,[name:adc]",[synonyms:{[bot", bottom", adc]}]",[uGGSelectorXpath:8],,47.94
,Ryze,,,3624,11.3,,Bronze,177,[name:top]",[synonyms:{[topper", top]}]",[uGGSelectorXpath:5],,47.85
,Cho'Gath,,,3002,11.3,,Bronze,178,[name:jungle]",[synonyms:{[jg", jungle]}]",[uGGSelectorXpath:6],,47.83
,Rakan,,,14398,11.3,,Bronze,179,[name:supp]",[synonyms:{[support", supp]}]",[uGGSelectorXpath:9],,47.74
,Orianna,,,13244,11.3,,Bronze,180,[name:mid]",[synonyms:{[middle", mid]}]",[uGGSelectorXpath:7],,47.73
,Yuumi,,,38637,11.3,,Bronze,181,[name:supp]",[synonyms:{[support", supp]}]",[uGGSelectorXpath:9],,47.69
,Kindred,,,14346,11.3,,Bronze,182,[name:jungle]",[synonyms:{[jg", jungle]}]",[uGGSelectorXpath:6],,47.68
,Sylas,,,34475,11.3,,Bronze,183,[name:mid]",[synonyms:{[middle", mid]}]",[uGGSelectorXpath:7],,47.65
,Irelia,,,28953,11.3,,Bronze,184,[name:mid]",[synonyms:{[middle", mid]}]",[uGGSelectorXpath:7],,47.6
,Aatrox,,,27570,11.3,,Bronze,185,[name:top]",[synonyms:{[topper", top]}]",[uGGSelectorXpath:5],,47.57
,Lucian,,,54998,11.3,,Bronze,186,[name:adc]",[synonyms:{[bot", bottom", adc]}]",[uGGSelectorXpath:8],,47.55
,Gragas,,,6838,11.3,,Bronze,187,[name:top]",[synonyms:{[topper", top]}]",[uGGSelectorXpath:5],,47.44
,Garen,,,2909,11.3,,Bronze,188,[name:jungle]",[synonyms:{[jg", jungle]}]",[uGGSelectorXpath:6],,47.4
,Talon,,,26680,11.3,,Bronze,189,[name:mid]",[synonyms:{[middle", mid]}]",[uGGSelectorXpath:7],,47.27
,Sett,,,4493,11.3,,Bronze,190,[name:jungle]",[synonyms:{[jg", jungle]}]",[uGGSelectorXpath:6],,47.25
,Karma,,,12666,11.3,,Bronze,191,[name:supp]",[synonyms:{[support", supp]}]",[uGGSelectorXpath:9],,47.19
,Ashe,,,7961,11.3,,Bronze,192,[name:supp]",[synonyms:{[support", supp]}]",[uGGSelectorXpath:9],,47.1
,Pantheon,,,29719,11.3,,Bronze,193,[name:supp]",[synonyms:{[support", supp]}]",[uGGSelectorXpath:9],,47.1
,Anivia,,,3600,11.3,,Bronze,194,[name:supp]",[synonyms:{[support", supp]}]",[uGGSelectorXpath:9],,47.03
,Sylas,,,7361,11.3,,Bronze,195,[name:top]",[synonyms:{[topper", top]}]",[uGGSelectorXpath:5],,46.8
,Malphite,,,3858,11.3,,Bronze,196,[name:jungle]",[synonyms:{[jg", jungle]}]",[uGGSelectorXpath:6],,46.79
,Lucian,,,17604,11.3,,Bronze,197,[name:mid]",[synonyms:{[middle", mid]}]",[uGGSelectorXpath:7],,46.65
,Gangplank,,,6625,11.3,,Bronze,198,[name:top]",[synonyms:{[topper", top]}]",[uGGSelectorXpath:5],,46.54
,Lee Sin,,,42924,11.3,,Bronze,199,[name:jungle]",[synonyms:{[jg", jungle]}]",[uGGSelectorXpath:6],,46.51
,Gragas,,,8158,11.3,,Bronze,200,[name:jungle]",[synonyms:{[jg", jungle]}]",[uGGSelectorXpath:6],,46.42
,Pantheon,,,15425,11.3,,Bronze,201,[name:top]",[synonyms:{[topper", top]}]",[uGGSelectorXpath:5],,46.41
,Rek'Sai,,,4703,11.3,,Bronze,202,[name:jungle]",[synonyms:{[jg", jungle]}]",[uGGSelectorXpath:6],,46.4
